Namespace(batch_size=128, concat=True, dataset='politifact', device='cpu', dropout_ratio=0.0, epochs=80, feature='spacy', lr=0.001, model='gcn', multi_gpu=False, nhid=128, num_classes=2, num_features=300, seed=777, weight_decay=0.01)
loss_train: 0.7095, acc_train: 0.3548, recall_train: 0.5385, auc_train: 0.3835, loss_val: 0.8028, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.6581
loss_train: 0.6929, acc_train: 0.5806, recall_train: 0.0000, auc_train: 0.5673, loss_val: 0.7602, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.7222
loss_train: 0.6743, acc_train: 0.5806, recall_train: 0.0000, auc_train: 0.7329, loss_val: 0.7039, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.7735
loss_train: 0.6618, acc_train: 0.5806, recall_train: 0.0000, auc_train: 0.8900, loss_val: 0.6774, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.8248
loss_train: 0.6617, acc_train: 0.6290, recall_train: 0.1154, auc_train: 0.9359, loss_val: 0.6744, acc_val: 0.4516, recall_val: 0.0556, auc_val: 0.8205
loss_train: 0.6536, acc_train: 0.6290, recall_train: 0.1154, auc_train: 0.9380, loss_val: 0.6878, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.8034
loss_train: 0.6422, acc_train: 0.5968, recall_train: 0.0385, auc_train: 0.9274, loss_val: 0.7077, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.7949
loss_train: 0.6361, acc_train: 0.5968, recall_train: 0.0385, auc_train: 0.9199, loss_val: 0.7094, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.8034
loss_train: 0.6288, acc_train: 0.5968, recall_train: 0.0385, auc_train: 0.9284, loss_val: 0.6853, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.8120
loss_train: 0.6165, acc_train: 0.5968, recall_train: 0.0385, auc_train: 0.9391, loss_val: 0.6541, acc_val: 0.5484, recall_val: 0.2222, auc_val: 0.8205
loss_train: 0.6061, acc_train: 0.6935, recall_train: 0.2692, auc_train: 0.9455, loss_val: 0.6353, acc_val: 0.6452, recall_val: 0.5000, auc_val: 0.8205
loss_train: 0.5961, acc_train: 0.8226, recall_train: 0.6154, auc_train: 0.9498, loss_val: 0.6347, acc_val: 0.6129, recall_val: 0.3889, auc_val: 0.8162
loss_train: 0.5806, acc_train: 0.7581, recall_train: 0.4231, auc_train: 0.9498, loss_val: 0.6458, acc_val: 0.5484, recall_val: 0.2222, auc_val: 0.8205
loss_train: 0.5663, acc_train: 0.6935, recall_train: 0.2692, auc_train: 0.9466, loss_val: 0.6378, acc_val: 0.5806, recall_val: 0.2778, auc_val: 0.8205
loss_train: 0.5507, acc_train: 0.7258, recall_train: 0.3462, auc_train: 0.9476, loss_val: 0.6030, acc_val: 0.7097, recall_val: 0.6111, auc_val: 0.8205
loss_train: 0.5318, acc_train: 0.8710, recall_train: 0.7692, auc_train: 0.9519, loss_val: 0.5803, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8248
loss_train: 0.5141, acc_train: 0.9032, recall_train: 0.8846, auc_train: 0.9573, loss_val: 0.5849, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8248
loss_train: 0.4916, acc_train: 0.8710, recall_train: 0.7692, auc_train: 0.9562, loss_val: 0.5784, acc_val: 0.7097, recall_val: 0.6111, auc_val: 0.8376
loss_train: 0.4696, acc_train: 0.8548, recall_train: 0.7308, auc_train: 0.9573, loss_val: 0.5400, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8333
loss_train: 0.4467, acc_train: 0.8710, recall_train: 0.8846, auc_train: 0.9594, loss_val: 0.5365, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8376
loss_train: 0.4228, acc_train: 0.9194, recall_train: 0.8846, auc_train: 0.9594, loss_val: 0.5394, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8376
loss_train: 0.4011, acc_train: 0.9194, recall_train: 0.8846, auc_train: 0.9615, loss_val: 0.4969, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8376
loss_train: 0.3794, acc_train: 0.8710, recall_train: 0.8846, auc_train: 0.9647, loss_val: 0.5207, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8462
loss_train: 0.3566, acc_train: 0.9194, recall_train: 0.8846, auc_train: 0.9647, loss_val: 0.4830, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8462
loss_train: 0.3348, acc_train: 0.8871, recall_train: 0.8846, auc_train: 0.9669, loss_val: 0.4937, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8504
loss_train: 0.3143, acc_train: 0.9194, recall_train: 0.8846, auc_train: 0.9669, loss_val: 0.4757, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8504
loss_train: 0.2950, acc_train: 0.9194, recall_train: 0.8846, auc_train: 0.9701, loss_val: 0.4804, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8504
loss_train: 0.2768, acc_train: 0.9194, recall_train: 0.8846, auc_train: 0.9712, loss_val: 0.4618, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8504
loss_train: 0.2601, acc_train: 0.9194, recall_train: 0.8846, auc_train: 0.9776, loss_val: 0.5017, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8504
